EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
181308.300,170409.100,348382.900,389549.800,180530.800,187604.900,191469.200,179994.000,0.000
182499.400,171626.600,349136.800,390752.600,181651.100,188709.000,193045.700,182050.600,0.000
185760.500,176343.300,351709.300,398534.700,197454.800,192244.300,199108.400,187629.000,0.000
186782.300,178357.700,352636.400,402528.400,207219.100,193466.500,201629.400,189343.100,0.000
183860.500,174451.300,350309.300,396403.900,196092.900,190455.700,196633.000,184337.200,0.000
181342.500,170441.100,348111.200,389120.900,180595.800,187633.800,191509.700,180025.500,0.000
182527.100,171653.700,348866.000,390323.900,181717.500,188730.800,193077.000,182071.600,0.000
185750.700,176334.800,351425.800,398041.700,197431.700,192231.100,199094.400,187613.500,0.000
186755.500,178332.700,352346.700,401998.700,207141.800,193428.900,201589.000,189312.000,0.000
183867.300,174453.400,350034.700,395922.300,196070.500,190453.100,196629.700,184339.000,0.000
181379.800,170469.500,347849.800,388699.500,180652.400,187665.500,191544.000,180055.300,0.000
182551.400,171674.600,348603.800,389900.200,181776.500,188760.000,193104.500,182092.500,0.000
185736.600,176326.000,351148.000,397562.300,197403.100,192221.800,199079.900,187600.100,0.000
186722.500,178308.700,352062.000,401482.800,207046.100,193390.300,201547.500,189280.700,0.000
183859.900,174458.100,349769.300,395462.100,196055.100,190449.700,196630.700,184343.800,0.000
181406.100,170506.400,347603.400,388301.900,180736.500,187701.100,191585.400,180087.500,0.000
182567.400,171702.400,348348.700,389490.300,181846.800,188781.900,193131.400,182110.200,0.000
185716.900,176316.700,350874.000,397093.200,197379.000,192204.500,199060.900,187586.000,0.000
186690.100,178282.500,351784.400,400981.400,206959.700,193360.900,201509.300,189257.300,0.000
183868.200,174467.900,349515.200,395012.700,196045.300,190456.800,196631.100,184352.500,0.000
181446.400,170541.200,347362.900,387911.700,180833.800,187747.800,191626.500,180123.800,0.000
182594.700,171723.000,348101.800,389093.700,181933.000,188815.600,193156.300,182129.400,0.000
185715.400,176310.700,350613.300,396636.700,197351.100,192189.100,199037.200,187567.000,0.000
186671.400,178265.800,351519.800,400500.000,206880.300,193324.300,201472.500,189233.800,0.000
183868.000,174468.000,349261.100,394577.300,196035.900,190455.200,196631.900,184359.100,0.000
181483.200,170577.500,347128.700,387539.500,180922.400,187780.400,191663.300,180154.200,0.000
182623.900,171752.800,347864.100,388716.300,182006.200,188839.800,193185.200,182144.800,0.000
185695.900,176298.300,350352.400,396197.900,197318.700,192172.200,199024.500,187546.500,0.000
186635.800,178236.800,351251.300,400029.800,206783.400,193291.700,201440.700,189203.100,0.000
183871.400,174471.700,349013.600,394168.300,196017.400,190459.800,196638.900,184366.400,0.000
181513.100,170603.200,346893.600,387193.100,180983.000,187816.700,191705.100,180186.000,0.000
182640.600,171769.000,347623.400,388362.100,182053.500,188867.300,193214.500,182165.800,0.000
185675.100,176284.400,350098.000,395782.800,197289.300,192160.500,199007.700,187535.100,0.000
186595.600,178204.400,350989.800,399571.800,206692.100,193254.400,201394.900,189175.000,0.000
183862.700,174467.700,348767.300,393757.800,195979.800,190453.500,196630.200,184367.400,0.000
181541.000,170633.500,346664.500,386849.600,181029.100,187849.500,191740.300,180219.300,0.000
182659.400,171790.000,347388.500,388010.100,182090.400,188881.700,193233.500,182180.700,0.000
185656.500,176268.500,349844.700,395364.500,197241.500,192130.500,198976.800,187510.800,0.000
186560.500,178176.100,350731.300,399118.000,206601.300,193204.800,201345.300,189140.700,0.000
183859.000,174468.900,348527.000,393360.200,195950.300,190441.200,196622.800,184368.300,0.000
181568.900,170664.000,346443.800,386520.600,181080.800,187887.000,191781.500,180251.800,0.000
182682.700,171818.600,347168.900,387680.200,182146.700,188917.300,193269.400,182202.800,0.000
185632.700,176257.300,349602.200,394963.500,197210.400,192109.000,198957.600,187488.200,0.000
